Product Name,Product Price,Product MRP,Product Star,Product Ratings,Product Reviews,Product Processor,Product RAM,Product Storage
HP Victus gaming AMD Ryzen 5 Hexa Core 5600H,47990,63628,4.2,1181  , 99 ,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
ASUS Vivobook Pro 15 For Creator AMD Ryzen 5 Hexa Core 5600HS,49990,76990,4.4,1330  , 138 ,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
Lenovo Ideapad Intel Core i5 11th Gen 11320H,49990,90890,0,0,0,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen 11320H,47399,71290,4.1,560  , 50 ,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Quad Core 5500H,49990,77990,4.2,179  , 20 ,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD
Lenovo AMD Ryzen 5 Quad Core R5,46999,67990,4.2,179  , 20 ,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD
HP Victus AMD Ryzen 5 Hexa Core 5600H,49890,77354,4.2,1181  , 99 ,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
HP AMD Ryzen 5 Hexa Core,48990,63629,3.4,7  , 1 ,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
Acer Nitro 5 AMD Ryzen 5 Hexa Core AMD R5,47990,79999,4.4,424  , 43 ,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
Acer Aspire 7 (2024) Intel Core i5 12th Gen 1240P,49490,89999,4.3,3182  , 350 ,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
Acer Aspire 7 (2024) AMD Ryzen 5 Hexa Core AMD R5,43990,88990,4.4,6520  , 765 ,Free upgrade to Windows 11 when available,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 Operating System
Lenovo IdeaPad Gaming 3 Intel Intel Core i5 11th Gen 11300H,49990,92500,4,125  , 15 ,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
HP Victus AMD Ryzen 5 Hexa Core 5600H,49999,63999,4.4,145  , 14 ,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
Acer Aspire 5 gaming Intel Core i5 12th Gen 1240P,49999,79990,4.1,60  , 5 ,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
MSI Modern 15 AMD Ryzen 5 Hexa Core 7530U,46990,62990,4.3,1566  , 204 ,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
HP AMD Ryzen 5,49999,55900,0,0,0,AMD Ryzen 5 Processor,8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen 11300H,49990,85000,4.3,5206  , 474 ,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
Acer Aspire 7 AMD Ryzen 5 Hexa Core 5500U,48916,87593,4.4,6520  , 765 ,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad Gaming 3 (2024) AMD Ryzen 5 Hexa Core 5th Gen 5600H,48990,79990,3.7,6  , 0 ,AMD Ryzen 5 Hexa Core Processor (5th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD
ASUS Vivobook Pro 15 For Creator AMD Ryzen 5 Hexa Core 5600HS,49899,76990,4.4,1330  , 138 ,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
Acer Aspire 3 Intel Core i5 11th Gen 1135G7,40206,57999,3.5,11  , 0 ,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD
Lenovo V15 G2 AMD Ryzen 3 Quad Core 5300U,28990,39900,3.7,15  , 3 ,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD
ASUS TUF Gaming F15 with 90WHr Battery Intel Core i5 11th Gen 11400H,60990,89990,4.4,2614  , 257 ,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD
Acer Aspire 7 Intel Core i5 12th Gen 12450H,53990,78999,4.2,1676  , 154 ,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
HP Victus AMD Ryzen 5 Hexa Core 5600H,61990,80587,4.3,415  , 30 ,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD
Lenovo LOQ Intel Core i5 12th Gen 12450H,82990,131190,4.4,133  , 12 ,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,512 GB SSD
ASUS Chromebook Intel Celeron Dual Core N4500,15990,32990,3.8,1305  , 125 ,Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,35.56 cm (14 Inch) Display
HP Chromebook (2024) MediaTek MT8183,13990,34554,3.8,4127  , 431 ,MediaTek MT8183 Processor,4 GB LPDDR4X RAM,29.46 cm (11.6 Inch) Display
ASUS Vivobook Pro 15 For Creator AMD Ryzen 7 Octa Core 5800HS,56990,90990,4.3,265  , 19 ,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad Gaming 3 AMD Ryzen 7 Octa Core 6800H,62990,97790,4.2,334  , 34 ,AMD Ryzen 7 Octa Core Processor,8 GB DDR5 RAM,512 GB SSD
Acer Intel Celeron Dual Core N4500,17990,40000,3.6,82  , 9 ,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,35.56 cm (14 inch) Display
ASUS TUF Gaming F17,57990,82990,4.3,26  , 3 ,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD
Acer Aspire 7 (2023) Intel Core i5 12th Gen 12450H,58990,84999,4.2,1544  , 136 ,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
HP Victus Intel Core i5 12th Gen,55990,76353,4.4,74  , 4 ,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
Lenovo LOQ (2024) AI Powered AMD Ryzen 7 Octa Core 7840HS,83990,133790,4.5,59  , 7 ,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,512 GB SSD
ASUS Vivobook Pro 15 For Creator AMD Ryzen 7 Octa Core 5800HS,65990,102990,4.3,207  , 16 ,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,1 TB SSD
Acer Predator Intel Core i9 13th Gen 13900HX,129990,171999,4.3,33  , 4 ,Intel Core i9 Processor (13th Gen),16 GB DDR5 RAM,1 TB SSD
Acer Nitro 5 Intel Core i5 12th Gen 12450H,68900,90999,4.4,648  , 67 ,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 6600H,63990,91290,4.4,207  , 21 ,AMD Ryzen 5 Hexa Core Processor,16 GB DDR5 RAM,512 GB SSD
ASUS TUF Gaming F15,53990,75990,4.3,4323  , 405 ,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
HP Victus Intel Core i5 12th Gen 12450H,67990,86343,4.3,120  , 6 ,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
MSI Katana 15 Intel Core i7 12th Gen 12650H,74990,103990,4.9,16  , 1 ,Intel Core i7 Processor (12th Gen),8 GB DDR5 RAM,512 GB SSD
CHUWI Intel Core i5 10th Gen 1035G1,27990,49990,3.4,9  , 1 ,Intel Core i5 Processor (10th Gen),16 GB DDR4 RAM,512 GB SSD
Acer Predator Neo (2023) Intel Core i7 13th Gen 13700HX,119990,159999,4.5,51  , 4 ,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,1 TB SSD
HP Victus Intel Core i7 12th Gen 12650H,83990,99527,4.4,123  , 11 ,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
ALIENWARE Intel Core i7 10th Gen 10750H,120890,223322,4.9,14  , 0 ,NVIDIA GeForce GTX 1660 Ti,"15.6 inch Full HD LED Backlit Anti-glare IPS Display, 300 Hz, 300 Nits","Tobii-eye tracking to track head pose, presence, fine gaze and eye position"
Lenovo IdeaPad Gaming 3 (2024) Intel Core i5 12th Gen 12450H,67990,94690,4.4,475  , 59 ,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad Gaming 3 AMD Ryzen 7 Octa Core 6800H,65990,99190,4.2,334  , 34 ,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,512 GB SSD
ASUS Vivobook Pro 15 OLED (2024) For Creator AMD Ryzen 5 Hexa Core 5600HS,57990,86990,4.4,807  , 110 ,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD
ASUS TUF Gaming F17 Intel Core i5 11th Gen 11260H,53990,75990,5,5  , 1 ,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
